Gardeners' World,1012
Little Big Man,1013
Exodus,1014
The 36th Chamber of Shaolin,1015
Diff'rent Strokes,1016
Futureworld,1017
The Dogs of War,1018
Belladonna of Sadness,1019
The Train,1020
The Longest Yard,1021
Battle of Britain,1022
Thunderbolt and Lightfoot,1023
Rowan & Martin's Laugh-In,1024
The Gumby Show,1025
10 Rillington Place,1026
Coffy,1027
The Last Tycoon,1028
The Danny Thomas Show,1029
House on Haunted Hill,1030
King Kong,1031
Messiah of Evil,1032
Investigation of a Citizen Above Suspicion,1033
Route 66,1034
Barabbas,1035
The Endless Summer,1036
Trilogy of Terror,1037
Beat the Devil,1038
The Shootist,1039
The Pajama Game,1040
The Lucy Show,1041
Foxy Brown,1042
Jabberwocky,1043
Planet of the Vampires,1044
The Earthling,1045
The King of Marvin Gardens,1046
Downhill Racer,1047
The Donna Reed Show,1048
Prophecy,1049
Damn Yankees,1050
Cockfighter,1051
My Name Is Nobody,1052
Boxcar Bertha,1053
Fat City,1054
The Hospital,1055
To All a Goodnight,1056
Fear and Desire,1057
The Man with the Golden Arm,1058
McLintock!,1059
Where the Red Fern Grows,1060
Deranged,1061
The World of Suzie Wong,1062
The Wild Geese,1063
The Ladies Man,1064
The Haunted Palace,1065
Watermelon Man,1066
The Hitch-Hiker,1067
Letter to Loretta,1068
Across 110th Street,1069
Lost Horizon,1070
The Secret Invasion,1071
The Angel Levine,1072
The Little Girl Who Lives Down the Lane,1073
Hondo,1074
Blacula,1075
Aparajito,1076
The Shooting,1077
"Race for Your Life, Charlie Brown",1078
Harry in Your Pocket,1079
The Owl and the Pussycat,1080
Lifeguard,1081
Black Sunday,1082
Dementia 13,1083
Five Fingers of Death,1084
Cinderella,1085
200 Motels,1086
The Unforgiven,1087
Mr. Majestyk,1088
Gator,1089
The Count of Monte-Cristo,1090
Rituals,1091
The Bat,1092
The Cheap Detective,1093
The Group,1094
Willard,1095
Emmet Otter's Jug-Band Christmas,1096
A Bucket of Blood,1097
Black Fist,1098
The Valachi Papers,1099
The Satanic Rites of Dracula,1100
Indiscretion of an American Wife,1101
How to Murder Your Wife,1102
Avanti!,1103
The Incredible Melting Man,1104
Eegah,1105
The Story of Adele H.,1106
The Shout,1107
Fun in Acapulco,1108
The Terror,1109
Here's Lucy,1110
Invasion of the Bee Girls,1111
New Year's Evil,1112
Nicholas and Alexandra,1113
The Hunter,1114
Night Tide,1115
The Brain That Wouldn't Die,1116
Suddenly,1117
They Call Me Mister Tibbs!,1118
Attack,1119
